Issue title,HM5_ISSUE_DESC
BATTERY COVER RUBBING MARKS OBSERVED IN THE SEAT.,ACJA_M2_UID_3022_Pave testing_vehicle_kms_2200_Battery cover rubbing marks observed in the seat.Refer image
DURING SEAT MOUNTING RUBBER GROMMAT(ROUND ) COME OUT DUE TO FOULING WITH REAR COWL MOUNTING BOLT AND COWL.,During Seat mounting Rubber grommat(round ) come out due to fouling with rear cowl mounting bolt and cowl.
EXTERNAL PROJECTION-FORK HERO LOGO (LH & RH) IS SHARP AND  TOUCH IN GROUP 1.,External projection-Fork hero logo (LH & RH) is sharp(No ROC) and touch in Group 1.
OIL LEAKGE OBSERVED FROM THE OIL COOLER HOSE ON VEHICLE,Oil leakge observed from the oil cooler hose on vehicle - Quality issue
THROTTLE CABLE MOUNTING HOLE NG IN SWITCH START & STOP,Switch start & stop did not have provision as per new throttle cable
ACTUAL VEHICLE MODEL IS NOT SHOWING ON BLUETOOTH SEARCHING PAGE.,Actual vehicle model is not showing on Bluetooth searching page.
BOTH SIDE COVER RIVET MTG. BROKEN.,Observed Both Side cover rivet mtg. broken in vibration durability test. (post inspection observation).
STAY REFLECTOR ASSEMBLY NOT POSSIBLE AS IN LAYOUT WE HAVE M6X20 BOLT LENGHT SHORT AND THREAD IN THE FORK ITSELF.,Stay Reflector assembly not possible as in layout we have M6x20 bolt lenght short and thread in the Fork itself.
WATER ENTRY OBSERVED INSIDE RH SWITCH ASSEMBLY.,""" ACJA_M2_UID_3020_Special test_vehicle_kms_200km_Water entry observed inside RH switch assembly .No functional issue observed. SOS function is not checked as TCU is not in working condition.Note:- This issue also observed in Water wade, Water Wash and Rain simulation test.."""
"BATTERY TERMINAL CONNECTION IS  POSSIBLE , WHEN BATTERY IS FITTED IN REVERSE POLARITY CONDITION.","Connection of Ground Wire to Positive and vice versa terminal on Battery is possible, when battery is fitted in reverse polarity condition."
WATER ENTRY OBSERVED INSIDE IGNITION LOCK CONNECTOR.,Water entry observed inside ignition lock connector & sludge formation observed from back side of connector in vehicle. No functional issue observed in vehicle.
RUBBING MARKS OBSERVED ON UPPER BRIDGE FORK AND HANDLE BAR HOLDER DUE TO RUBBING OF IGNITION KEY.,ACJA_PP1_4035_Fleet_15504_Km_ Rubbing marks observed on upper bridge fork and handle bar holder due to rubbing of ignition key.
GRAPHICAL USER INTERFACE-ODO FONT IS NOT CLEARLY LEGIBLE.,Graphical User interface-Odo font is not clearly legible.Recommendation to Increase font size.
PHONE BATTERY STATUS IS NOT SHOWING.,Phone battery status is not showing.
MAIN STAND LATERAL PLAY OBSERVED MORE,ACJA_PP2_5068_PAVE_0_KM_Main stand lateral play observed more. This issue observed in Media presentation vehicles.
BATTERY COVER IS IN CONTACT WITH BATTERY,"Battery cover is in contact with battery, Reccommended to provide the foam on Battery cover to avoid the contact with battery."
"RUST OBSERVED ON HEAD LIGHT STAY AT TOP SIDE AND BOTTOM SIDE AND CONTINUE RUBBING WITH HEAD LIGHT DOOM,","Rust observed on Head light stay at top side and bottom side and continue rubbing with Head light doom, ACJA_M1_UID_2009 Fleet  testing vehicle__kms_14590."
FUEL TANK REAR MOUNTING GROMMET FOUND CUT.,ACJA_PP1_4048_PAVE_2500_Km_Fuel tank rear mounting grommet found cut.
"FLUID DISPLACEMENT TEST: NG (AT 70 BAR PRESSURE RESULT ARE NOT COMING WITHIN THE SPECIFIED RANGE, MENTIONED IN RELEASE DRAWING","Fluid displacement test: NG (at 70 bar pressure result are not coming within the specified range, mentioned in release drawing"
VIN NO TRACING DIFFICULT.,Tracing the no. is not convenient due to the clutch cable being too tight to push aside for tracing.Also clutch cable rubbing on VIN no.
KEY GOT REMOVED IN ON CONDITION.,ACJA_PP1_4035_Fleet_12312_Km_Key got removed in ON condition.
FRONT BRAKE HOSE FOULING WITH ABS CONTROLLER.,Front brake hose fouling with ABS controller.
COLLIMATOR GET BURNED IN 1320 HRS IN FUNCTIONAL DURABILITY TEST,Headlamp running in funcional durability got fadding on it & collimator also get burned at 1320 hrs
THROTTLE CABLE FOULING WITH INNER PANEL,"Throttle cable fouling with inner panel, Rubbing observed on handle rotation"
EARTH CABLE AT ENGINE SIDE HAS ANTIROTATION IN OPPOSITE SIDE WHIS HAS NO USE,Earth cable at engine side has antirotation in opposite side whis has no use
CUT MARK OBSERVED ON FRONT AND REAR TYRE ON UNPAVE TRACK (OFFROAD TRACK) AFTER 500 KM.,"Cut mark observed on front and rear tyre on unpave track (offroad track) after 500 km, ACJA_M1_UID_2009_Fleet  testing vehicle__kms_14590."
MULTIBRACKET STAY  WELD NUT IS 4 MM IT SHOULD BE 5 MM,Multibracket stay  weld nut is 4 mm it should be 5 mm
FUEL CAP FOUND LEAKED IN LEAKAGE TEST,Fuel cap found leaked in leakage test
PISTON TOP RING GROOVE LAND AREA MICRO WELDING MARKS OBSERVED.,High blow by was observed during calibration testing the Piston ring TOP rotation found sluggish. Checked the piston grrove and found that some micro welding has happened.
LEAKAGE OBSERVED FROM PRESSURE SWITCH DURING STROKING DURABILITY TEST @ 19 KG PEDAL LOAD AFTER 37K CYCLES.,Leakage observed from pressure switch during Stroking durability test @ 19 kg pedal load after 37k cycles.
CANISTER WEIGHT INCREASED BY 8 GMS DURING WATER WADE TEST.,ACJA_M2_UID_3020_Special test testing_vehicle_kms_200km_Canister weight increased by 8 gms during water wade test in vehicle as highlighted in picture. Note- 1.canister weight was increased by 30 gms during rain simulation test in dynamisc condition.Issue was created because of drain & suction tube was choke observed. 2.Drain tube length was maintained 50mm from the lower clip on frame as shown below which makes ground clearance of approx. 240mm.After that water wade test was conducted on vehicle. Still canister weight was increased by 8gms. Still we are waiting for improvement fron designer side. Canister weight before water wade test -152 gms Canister weight after water wade test -160 gms
HOOK SEAT CATCH OF ACJA PP1 VEHICLE FOUND CRACKED.,Hook seat catch of ACJA PP1 vehicle found cracked during inspection after 30hrs of camdrum testing against a target of 120hrs.
PANIC SWITCH CAP OPENING AND CLOSING EFFORTS ARE NOT MEETING DESIGN SPECIFICATIONS,Panic switch cap opening and closing efforts are observed to be 0.4kgf and 0.38kgf respectively against the design specifications of 0.7kgf (+/- 0.21kgf)
H' LOGO BRIGHTNESS IS HIGH AND IT DISCTRACT RIDER.,H' logo brightness is high and it disctract rider.'Recommend to reduce the brightness.
SWITCH RELAY MTG BRKT FOUND BROKEN,Switch relay mtg brkt found broken after  60 hrs during testing.failure wasobserved during post inspection of durability trial.
THE LENGTH OF THE USB CHARGER CABLE IS LONG.,The length of the USB charger cable is long.Recommend to optimise the cable lengths.
SIDE STAND SENSOR WIRE IS FOULING WITH THE GEAR PEDAL MOUNTING.,Side stand sensor wire is fouling with the gear pedal Mounting. Recommended to provide a clamp.
BATTERY COVER RUBBING MARKS & CUT MARKS OBSERVED IN THE SEAT.REFER IMAGE,ACJA_M2_UID_3023_Fleet testing_vehicle_kms_10900_ Battery cover rubbing marks & cut marks observed in the seat.Refer image
CHAIN ADJUSTMENT MARKING ON CHAIN ADJUSTER IS NOT VISIBLE.,1.Chain adjustment mark on plate is not proverly visibile due to paint.2. Chain adjuster locking nut are of 12 mm size. Recommend they should be 10 and 12.
REAR BRAKE MASTER CYLINDER HOSE IS NOT LOCKING ON THE GUIDE.,Rear brake master cylinder hose is not locking on the guide. Refer highlighted area in the image.
"IGNITION COIL CABLE LENGTH SHORT WILL NOT REACH TO THE SPARK PLUG""","Ignition coil cable length short will not reach to the spark plug"""
RIDER SEAT VERY HARD & UNCOMFORTABLE FEEL AFTER 30 MINUTES RIDE.,ACJA_PP1_4047_ODT_16030_Km_ Rider seat very hard & uncomfortable feel after 30 minutes ride. Water accumulation observed on seat stitching. Issue observed with new duel leather rexine seat.(Seat cum km-1050)
TANK COVER L SIDE SUBASSEMBLY MTG BOLT GO THROUGH PLASTIC PART (TANK COVER L SIDE )SO MTG BOLT SHOULD HAVE COLLAR,Tank cover L side subassembly mtg bolt go through plastic part (Tank cover L side )so mtg bolt should have collar
PILLION FOOTPEG RUBBER TOUCHING OBSERVED WITH FOOT STEP HOLDER IN VEHICLE AS HIGHLIGHTED IN PICTURE.,ACJA_M1_UID_2013_Pave testing vehicle_kms__1999_Pillion Footpeg rubber touching observed with foot step holder in vehicle as highlighted in picture.
FR. WHEEL COLLAR,Collar loose in Fr. wheel sub-assy.
REAR CUSHION DAMPER RAPTURED OBSERVED DURING TESTING . REAR CUSHION OVER SOFT FEELING OBSERVED.,"""Rear Cushion feel bottoming & noise observed more during Single riding condition Same issue with Double riding & Singe riding with 15 Kg pannier on both side. Rear cushion Damper raptured observed during Testing . Rear cushion over soft feeling observed. Due to over soft impact of cushion jerk feeling observed. Issue observed on  ACJA_M1_UID_2009 Fleet  testing vehicle__kms_14590.Same issue observed in All ACJA Vehicle."""
RATTLING NOISE FOUND IN THE SPEEDOMETER SWITCH DURING Z-DIRECTION VIBRATION TEST,(1) Rattling noise found in the speedometer switch during z-direction vibration test & powder         formation observed near switch area.  (2) Rattling noise observed on the following frequency band at 50 to 65 Hz and 310 to 350 Hz.
ACJA_PP1_4048_PAVE_0_KM_HANDLE BAR BOUNCE BACK  ISSUE OBSERVED.,ACJA_PP1_4048_PAVE_0_Km_Handle bar bounce back  issue observed. (LH side to RH side.). Same issue observed in fleet and ODT vehicles.
HECU BRANCH MAKING LOOP SO LENGTH NEED OPTIMIZED.,HECU branch making loop so length need optimized.
UNEVEN GAP OBSERVED BETWEEN HORN & TANK COVER INNER.,ACJA_PP1_4035_Fleet_0_KM_Uneven gap observed between horn & tank cover inner.
"MUFFLER REAR MOUNTING GROMMET FOUND CUT, THIS MIGHT BE DUE TO SHARP EDGES ON REAR PILLION HOLDER & COLLAR FACE DEFORMED","Muffler rear mounting grommet found cut , this might be due to sharp edges on rear pillion holder. Muffler rear mounting collar face found deformed"
USER DIRECTION IS SHOWING WRONG.IN ACTAUL THERE IS RIGHT TURN BUT APP SHOWING LEFT TURN.,Direction of user during stationary condition-User direction is showing wrong.In Actaul there is right turn but app showing left turn.
FRONT WHEEL SPEED SENSOR WIRE HAS SHARP BEND,Front wheel speed sensor wire has sharp bend & fouling with the engine head cover.
HORN WIRE COUPLERS ARE FOULING WITH EACH OTHER & WIRES GOT A SHARP BEND AT THE COUPLER BASE,1. Horn wire couplers are fouling with each other in assembled condition  2. Horn wires got a sharp bend at the coupler base as shown in the image.
3 NO'S EXTRA COUPLER FOUND ON MAIN HARNESS.,3 no's extra coupler found on main harness.
SPEEDO DIAL ARC'S OFFSET ISSUE IN SPEEDO INTERFACE EVALAUTION,The circular arc on speedo dial and the arcs (next to fuel guage and tacho guage ) are observed to be offset from the intended circle.
BOTH FRONT FORK SEEPPAGE IN VIBRATION DURABILITY TEST.,Observed Seeppage from seal dust of Both front fork  in vibration durability test after 35 hours.Target hours is - 60 hours.
TAIL LIGHT CENTER COWL RUBBING WITH REAR FENDER & MARKS OBSERVED ON VEHICLE.,"Tail light center cowl rubbing with rear fender & marks observed on vehicle @ 14590 Kms, issue onserved on  ACJA_M1_UID_2009_Fleet  testing vehicle."
WATER ENTRY OBSERVED INSIDE FRAME TUBES,ACJA_PP1_4035_Fleet_15504_Km_ Water entry observed inside frame tubes.
PAINT PEEL OFF OBSERVED FROM TANK DUE TO RUBBING WITH SEAT.,ACJA_PP1_4047_ODT_36124_Km_Paint peel off observed from tank due to rubbing with seat.
BATTERY BOX REAR FENDER SIDE LUG BROKEN OBSERVED,Battery box rear fender side lug broken observed on ACJA_M1_UID_2009_Fleet  testing vehicle__kms_14590
RELAY BRANCH SHORT CREATING PROBLEM WHILE REAR FENDER MOUNING AND RELAY INSERTION IS ALSO HARD IN STAY AFTER FENDER MOUNTING,Relay branch short creating problem while rear fender mouning and relay insertion is also hard in stay after fender mounting
WRONG CONNECTION IS  POSSIBLE WHEN THE BATTERY IS FITTED IN REVERSE POLARITY CONDITION,1. Wrong connection is  Possible when the battery is fitted in reverse polarity condition. 2.  Negative terminal fouling with frame.
MAIN HARNESS WIRE FOULING WITH ENGINE TOP COVER.,Main harness wire fouling with engine top cover.
HORN TERMINAL FOULING WITH FUEL TANK SHROUD,Horn terminal fouling with fuel tank shroud
ACJA WINKER CHILD PART FAILED IN CORROSION TEST,WINKER CHILD PART GOT WHITE RUST IN 48 HRS & RED RUST IN 120 HRS
STATIC GAP BETWEEN GARNISH SIDE COVER AND COVER SIDE LH IS NOT AS PER SPEC.,"Static gap between Garnish side cover and cover side on Lh side is 0 to 2.3 mm,where as spec is 0.3 ±0.2 mm."
MUFFLER TO BE UPDATED AS PER NVH IMPROVEMENT,"Muffler to be updated as per NVH Improvement, Dia 16 mm holes 6 No's to be deleted from Tail Pipe and Dia 16mm hole to be added in Seprator as shown in Proposed Solution"
RUSTING OBSERVED ON BOTH SIDE FRONT FORK,ACJA_PP2_5068_PAVE_2500_KM_Rusting observed on both side front fork
HARNESS ISSUES.,"""1.)ACJA_M2_UID_3023_Fleet testing_vehicle_kms_0_harness insulation not as per layout it observed cracks & Turned  from Multiple Locations.2.)ACJA_M2_UID_3023_Fleet testing_vehicle_kms_0_USB charger wire length more.3.)ACJA_M2_UID_3023_Fleet testing_vehicle_kms_0_RR unit coupler wire length more."""
THE THIMBLE OF RED WIRE OF THE SELF-RELAY COUPLER IS COMING OUT OF THE COUPLER.,The thimble of red wire of the self-relay coupler is coming out of the coupler.
RUBBING MARKS OBSERVED ON HEADLAMP DUE TO FRONT COWL,ACJA_PP1_4035_Fleet_15504_Km_ Rubbing marks observed on headlamp due to front cowl.
REAR FENDER TAIL LIGHT MOUNTING HOLE OFFSET WITH STAY REAR FENDER,Rear fender tail light mounting hole offset with stay rear fender
USB CHARGER CAP OPENING EFFORT IS HIGH,USB Charger Cap opening effort is high & gap between USB cap to cover is less which causes discomfort to fingers while opening the cap
TAIL LIGHT CENTER COWL BOTH LH & RH LUG BROKEN.,Tail light center cowl both LH & RH lug broken observed on vehicle  ACJA_M1_UID_2009_Fleet  testing vehicle @14590 Kms.
ACJA HEADLAMP (S3 SAMPLE) FAILED IN FUNCTIONAL DURABILITY TEST AFTER 432 HRS.,ACJA headlamp failed in functional durability test after 432 hrs. (S3 sample) -High beam color changed (Yellow color observed)and black patches observed on reflector( 140923)
FRONT MASTER CYLINDER ROUTING HARD THROUGH FRAME BODY,Front master cylinder routing hard through frame body
THE VISIBILITY OF THE TELL-TALE IS FEELS HIGH IN NIGHT CONDITION & SCATTERED,1. The visibility of the tell-tale is feels high & scattered in Night condition (Recommend decrease the brightness level of Tell-tale symbols to meet the visibility at a desired level in both day as well as night.) 2. Speedometer overall screen visibility is feel Less in Day condition - Sunlight.
RHS SHROUD (METAL) PAINT PEEL OFF / BUBBLE FORMATION OBSERVED SEEMS PAINT QUALITY ISSUE,ACJA_PP1_4047_ODT_36124_Km_RHS shroud (Metal) paint peel off / bubble formation observed seems paint quality issue
CRACK OBSERVED IN FRAME  IN FRONT LONGITUDINAL TEST,crack observed in frame in front longitudinal test after 1.4 lac cycles. Target of test is 2 lac cycles. M1 frame life is 4.9lacs cycles.
"FRONFRONT FENDER B MOUNTING SCREW FITMENT NOT POSSIBLE, DUE TO SCREW DIA INTERFERENCE WITH FRONT FENDOR METEL.","Front fender B Mounting screw fitment not possible, due to screw dia interference with front fendor Metel."
CLUTCH CABLE PINCH WITH SPEEDOMETER MOUNTING STAY,Clutch cable pinch with speedometer mounting stay & makes sharp bend while handle bar turning LH side.
HORN WIRE OUTER PROTECTING SLEEVE OBSERVED SHORT.,Horn wire outer protecting sleeve observed short. Wires are not completely covered.
"WELD NUT GIVEN ON FRAMEBODY ON BRACKET ABS MOUNT, WHICH IS NOT APPLICABLE AS PER FITMENT. IN SUBMITTED PROTO REQUEST DATA WELD N","Weld nut given on framebody on Bracket ABS mount, Which is not applicable as per fitment. In submitted proto request data weld nut are given"
"KEYSET OFFSET WITH BFT HOLE, AESTHETIC NOT CORRECT, HEIGHT DIFFERENCE IN KEYSET STEP & BFT STEP (1.75 MM)","Keyset offset with BFT hole, Aesthetic not correct, Height difference in keyset step & BFT step (1.75 mm)"
STATIC GAP IS NOT AS PER DESIGN SPECS BETWEEN LH SIDE SWITCH HANDLE TO FUEL TANK (HANDLE FULL LH SIDE),"Static gap between LH side switch handle to fuel tank (handle full LH side) is 29.4 mm, where as spec is 21 mm Plus /Minus 5 mm."
PILLION FOOT PEG FOLD CONDITION NOT MEETING THE EXTERNAL PROJECTION REQUIREMENT.,"As per definition the contact point (Pillion foot peg fold condition) comes under the definition of corner and in group 1 category. As per regulation required ROC for stem is >3 mm. However, ROC at the contact point is observed to be 2.5 mm."
OBDII COUPLER CLAMPING PROVISION NOT GIVEN,"OBDII coupler clamping provision not given, Coupler remains in between battery cover & frame."
DRAWING SPECIFICATIONS NEED TO MODIFY AS PER SAMPLES,DRAWING SPEC. OF SPRINGS ARE NOT INLINE WITH THE TESTED SAMPLES
SIDESTAND SENSOR TELL TALE NOT WORKING.,Sidestand sensor coupler disconnected or wires short circuit tell tale not getting 'ON'.
GRAPHICAL USER INTERFACE-PHONE BATTERY ICON LOOKS SMALL.,Graphical User interface-Phone Battery icon Looks small.Recommendation to Increase icon size proporinate to the other icons.
THERE IS INCOSISTANCY OBSERVED REGARDING THE MISSED CALL ICON BEING CLEARED ON IGNITION RESET.,"There is incosistancy observed regarding the missed call icon being cleared on ignition reset - Sometimes the gets clerared, sometimes it doesnt."
MAIN STAND,Main Stand fouling on joint convyor
SECOND OXYGEN SENSOR BRANCH IS IDLE AS WE HAVE TO USE ONLY ONE OXYGEN SENSOR,Second Oxygen sensor branch is idle as we have to use only one oxygen sensor
TANK COVER TO SHROUD L & R GAP EXCESSIVE,Tank cover to shroud L & R gap excessive
REAR COWL RIBS DAMAGE,Rear Cowl rib found damage and rubbing mark due to fouling with frame in 30 hrs of during testing.Target was 60 Hours
ENGINE HEAD LHS MTG BOLT BROKEN OBSERVED AFTER 26 HRS. OF TWO POSTER DURABILITY TESTING.,Engine head LHS mtg bolt (With Frame Brkt ) broken observed after 26 hrs. of two poster durability testing.
HARNESS WIRE INSULATION REMOVED FROM NEAR TO COUPLERS.,4.)ACJA_M2_UID_3023_Fleet testing_vehicle_kms_10900_Harness wire insulation removed from near to couplers
BRAKE HOSE HECU TO FR CALIPER TOUCHING TO BFT,Brake hose Hecu to FR caliper touching to BFT
